
> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


> bsc-backend@1.0.0 build
> tsc


> bsc-backend@1.0.0 start
> node .


> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


POST /measurement/schuepbach 201 - - 15.342 ms
POST /measurement/schuepbach 201 - - 16.208 ms
POST /measurement/schuepbach 201 - - 26.490 ms
POST /measurement/schuepbach 201 - - 14.796 ms
POST /measurement/schuepbach 201 - - 14.873 ms
POST /measurement/schuepbach 201 - - 15.418 ms
POST /measurement/schuepbach 201 - - 14.610 ms
POST /measurement/schuepbach 201 - - 14.115 ms
POST /measurement/schuepbach 201 - - 14.599 ms
POST /measurement/schuepbach 201 - - 16.452 ms
POST /measurement/schuepbach 201 - - 15.189 ms
POST /measurement/schuepbach 201 - - 14.785 ms
POST /measurement/schuepbach 201 - - 15.777 ms
POST /measurement/schuepbach 201 - - 15.714 ms
POST /measurement/schuepbach 201 - - 17.572 ms
POST /measurement/schuepbach 201 - - 14.297 ms
POST /measurement/schuepbach 201 - - 15.799 ms
POST /measurement/schuepbach 201 - - 19.182 ms
POST /measurement/schuepbach 201 - - 33.870 ms
POST /measurement/schuepbach 201 - - 14.713 ms
POST /measurement/schuepbach 201 - - 15.597 ms
POST /measurement/schuepbach 201 - - 14.384 ms
POST /measurement/schuepbach 201 - - 14.158 ms
POST /measurement/schuepbach 201 - - 15.874 ms
POST /measurement/schuepbach 201 - - 17.096 ms
POST /measurement/schuepbach 201 - - 17.439 ms
POST /measurement/schuepbach 201 - - 14.240 ms
POST /measurement/schuepbach 201 - - 14.506 ms
POST /measurement/schuepbach 201 - - 14.633 ms
POST /measurement/schuepbach 201 - - 16.738 ms
POST /measurement/schuepbach 201 - - 15.483 ms
POST /measurement/schuepbach 201 - - 16.805 ms
POST /measurement/schuepbach 201 - - 23.384 ms
POST /measurement/schuepbach 201 - - 17.272 ms
POST /measurement/schuepbach 201 - - 16.092 ms
POST /measurement/schuepbach 201 - - 13.546 ms
POST /measurement/schuepbach 201 - - 15.293 ms
POST /measurement/schuepbach 201 - - 14.774 ms
POST /measurement/schuepbach 201 - - 15.047 ms
POST /measurement/schuepbach 201 - - 15.379 ms
POST /measurement/schuepbach 201 - - 19.945 ms
POST /measurement/schuepbach 201 - - 14.931 ms
POST /measurement/schuepbach 201 - - 15.247 ms
POST /measurement/schuepbach 201 - - 14.445 ms
POST /measurement/schuepbach 201 - - 14.896 ms
POST /measurement/schuepbach 201 - - 13.806 ms
POST /measurement/schuepbach 201 - - 14.756 ms
POST /measurement/schuepbach 201 - - 16.747 ms
POST /measurement/schuepbach 201 - - 18.158 ms
POST /measurement/schuepbach 201 - - 15.356 ms
POST /measurement/schuepbach 201 - - 17.087 ms
POST /measurement/schuepbach 201 - - 13.676 ms
POST /measurement/schuepbach 201 - - 14.526 ms
POST /measurement/schuepbach 201 - - 14.460 ms
POST /measurement/schuepbach 201 - - 15.462 ms
POST /measurement/schuepbach 201 - - 16.841 ms
POST /measurement/schuepbach 201 - - 15.611 ms
POST /measurement/schuepbach 201 - - 15.240 ms
POST /measurement/schuepbach 201 - - 26.183 ms
POST /measurement/schuepbach 201 - - 15.526 ms
POST /measurement/schuepbach 201 - - 16.432 ms
POST /measurement/schuepbach 201 - - 15.773 ms
POST /measurement/schuepbach 201 - - 14.012 ms
POST /measurement/schuepbach 201 - - 20.305 ms
POST /measurement/schuepbach 201 - - 18.011 ms
POST /measurement/schuepbach 201 - - 16.402 ms
POST /measurement/schuepbach 201 - - 15.745 ms
POST /measurement/schuepbach 201 - - 18.239 ms
POST /measurement/schuepbach 201 - - 14.615 ms
POST /measurement/schuepbach 201 - - 14.799 ms
POST /measurement/schuepbach 201 - - 19.516 ms
POST /measurement/schuepbach 201 - - 14.244 ms
POST /measurement/schuepbach 201 - - 15.318 ms
POST /measurement/schuepbach 201 - - 14.670 ms
POST /measurement/schuepbach 201 - - 16.490 ms
POST /measurement/schuepbach 201 - - 15.422 ms
POST /measurement/schuepbach 201 - - 16.886 ms
POST /measurement/schuepbach 201 - - 20.893 ms
POST /measurement/schuepbach 201 - - 16.253 ms
POST /measurement/schuepbach 201 - - 17.587 ms
POST /measurement/schuepbach 201 - - 15.857 ms
POST /measurement/schuepbach 201 - - 15.185 ms
POST /measurement/schuepbach 201 - - 20.034 ms
POST /measurement/schuepbach 201 - - 16.499 ms
POST /measurement/schuepbach 201 - - 19.882 ms
POST /measurement/schuepbach 201 - - 18.219 ms
POST /measurement/schuepbach 201 - - 15.978 ms
POST /measurement/schuepbach 201 - - 14.984 ms
POST /measurement/schuepbach 201 - - 14.794 ms
POST /measurement/schuepbach 201 - - 17.637 ms
POST /measurement/schuepbach 201 - - 15.729 ms
POST /measurement/schuepbach 201 - - 17.925 ms
POST /measurement/schuepbach 201 - - 18.449 ms
POST /measurement/schuepbach 201 - - 15.657 ms
POST /measurement/schuepbach 201 - - 15.408 ms
POST /measurement/schuepbach 201 - - 16.567 ms
POST /measurement/schuepbach 201 - - 17.589 ms
POST /measurement/schuepbach 201 - - 15.477 ms
POST /measurement/schuepbach 201 - - 30.882 ms
POST /measurement/schuepbach 201 - - 14.817 ms
POST /measurement/schuepbach 201 - - 92.045 ms
POST /measurement/schuepbach 201 - - 140.754 ms
POST /measurement/schuepbach 201 - - 15.577 ms
POST /measurement/schuepbach 201 - - 14.330 ms
POST /measurement/schuepbach 201 - - 16.421 ms
POST /measurement/schuepbach 201 - - 17.259 ms
POST /measurement/schuepbach 201 - - 15.111 ms
POST /measurement/schuepbach 201 - - 15.448 ms
POST /measurement/schuepbach 201 - - 15.716 ms
POST /measurement/schuepbach 201 - - 14.575 ms
POST /measurement/schuepbach 201 - - 13.904 ms
POST /measurement/schuepbach 201 - - 14.577 ms
POST /measurement/schuepbach 201 - - 15.620 ms
POST /measurement/schuepbach 201 - - 14.136 ms
POST /measurement/schuepbach 201 - - 15.196 ms
POST /measurement/schuepbach 201 - - 14.483 ms
POST /measurement/schuepbach 201 - - 15.399 ms
POST /measurement/schuepbach 201 - - 13.517 ms
POST /measurement/schuepbach 201 - - 14.710 ms
